siteid,heat_elec,heat_elec_type,heat_elec_control,heat_elec_dist,heat_gas,heat_gas_type,heat_gas_control,heat_gas_dist,backup_elec,backup_gas,backup_other,num_bath,num_bedroom,MoveIn,year_built,homebusiness,homerent,primaryres,income_support,workingoutside,num_occupant,has_kid,has_senior,dish_load,washer_load,ac_use,heat_sp,heat_sp_night,avg_height,ua_ceiling,has_dryer,num_computer,cook_elec,cook_gas,has_washer,dryer_elec,dryer_gas,num_audio,num_charger,num_game,num_tv,y_kwh,y_kbtu,light_ex_watt,ua_floor,light_in_watt,bldg_type,level_floor,num_room,tot_sqft,tot_vol,fraction_window,hdd65,cdd65,population_city,pv,year_ref,vol_ref,flow_shower,ua_total,ua_wall,hw_elec,hw_gas,hw_btuhr,hw_kw,hw_solar,hw_conditioned,hw_year,hw_size,hw_type,ua_window
21615,0,none,none,none,1,faf,programmable,ducted,0,0,0,2,3,2007,2004,0,0,1,0,0,2,0,1,6,3,1,71,68,9,43.5750007629395,1,1,1,0,1,1,0,0,5,0,1,6214.80517578125,77567.38225682378,570,42.4229049682617,2054,Single,1,11,1605,14445,0.109999999403954,7275,241,282240.03125,0,2004,20.666666666666668,4.5,269.827911376953,88.6799926757813,0,1,40000,0,0,0,2004,40,tank,95.15000206232071
21799,1,hp,programmable,ducted,0,none,none,none,1,0,0,3,4,1978,1978,0,0,1,0,0,2,0,1,2,2,1,69,67,8,24.8599987030029,1,1,1,0,1,1,0,3,5,0,6,16278.603515625,NA,266,89.8650054931641,2515,Single,1.5,16,1927,15416,0.150000005960464,4936,805,171385.890625,0,2005,25,5,392.385009765625,172.360000610352,1,0,0,4.5,0,1,2009,50,tank,105.29999721050261
21905,0,none,none,none,1,faf,programmable,ducted,0,1,0,4,3,1995,1995,0,0,1,0,0,2,0,1,5,4,1,68,65,9,52.4750022888184,1,5,0,1,1,1,0,1,13,0,3,13205.283203125,95785.42090353396,365,95.0400009155273,3933,Single,1.5,19,3584,32256,0.100000001490116,6130,439,282240.03125,0,1995,22.5,6.75,582.155029296875,226.439987182617,0,1,40000,0,0,1,1994,50,tank,208.20000827312472
22138,1,faf,programmable,ducted,0,none,none,none,1,0,0,3,3,2002,1994,0,0,1,0,3,3,0,0,8,9,1,68,55,8,40.2000007629395,1,2,1,0,1,1,0,1,4,1,3,37064.40234375,NA,460,119.573226928711,4359,Single,2,15,2544,20352,0.25,5453,957,442934.4375,0,2000.5,20,4,704.333251953125,227.760009765625,1,0,0,4.5,0,0,1999,50,tank,316.80001258850103
22144,0,none,none,none,1,faf,thermostat,ducted,0,0,0,2,3,2000,2000,0,0,1,0,0,1,0,1,2,3,1,70,60,9.5,35.4000015258789,1,1,1,0,1,1,0,2,1,0,3,9604.658203125,67334.81255647581,88,139.243240356445,1660,Single,1,12,1232,11704,0.189999997615814,5453,957,442934.4375,0,2002,21.666666666666668,4.5,393.873229980469,82.879997253418,0,1,38000,0,0,0,2000,40,tank,125.95000272989273
22177,1,gshp,thermostat,ducted,0,none,none,none,1,0,0,4,2,1981,1991,1,0,1,0,0,2,0,0,0,1,1,68,60,9,178.779998779297,1,9,1,0,0,1,0,7,4,0,2,17372.56640625,NA,2683,104.329605102539,7017,Single,2,24,4779,43011,0.0900000035762787,4533,313,166107.25,0,2009.5,20.5,8,836.239624023438,344.929992675781,1,0,0,2.5,0,1,1991,80,tank,188.999996304512
22222,0,none,none,none,1,htstove,NA,zonal,0,0,0,1,2,2010,1945,0,0,1,0,1,2,0,1,0,4,1,67,67,7.5,18.2000007629395,1,1,1,0,0,1,0,1,1,0,3,5169.53173828125,NA,148,60.9315872192383,847,Single,1,6,728,5460,0.109999999403954,6776,462,171385.890625,0,1988,21,2,205.031585693359,82.5,1,0,0,0,0,1,NA,30,tank,43.399999260902405
22284,0,none,none,none,1,boiler,thermostat,radiant,1,0,0,2,3,2010,2009,1,0,1,0,2,2,0,0,7,5,0,68,68,10,60.8500022888184,1,2,1,0,1,1,0,1,5,0,2,16534.50390625,55499.87933052983,115,200.080001831055,2315,Single,1,13,2112,21120,0.0799999982118607,9104,77,83561.6015625,0,2009,25,3.5,510.480010986328,154.399993896484,1,0,0,4.5,0,1,2009,50,tank,95.15000206232071
22514,0,none,none,none,1,faf,programmable,ducted,0,0,0,3,4,2008,2001,0,0,1,0,1,4,1,0,4,6,1,70,70,8,27.7000007629395,1,7,1,0,1,1,0,5,3,3,4,14827.052734375,86907.47732131956,526,39.2133407592773,3040,Single,2,15,1901,15208,0.0900000035762787,5685,848,442934.4375,0,2000,17,4,271.593353271484,138.080001831055,0,1,38000,0,0,0,2000,40,tank,66.5999982357025
22615,0,none,none,none,1,faf,thermostat,ducted,0,0,0,2,2,2002,2000,0,0,1,0,0,2,0,1,6,2,1,72,65,9.5,43.2250022888184,1,1,1,0,1,1,0,0,1,0,2,8491.951171875,60533.758953503464,455,95.761344909668,3040,Multiplex,1,11,1441,13689.5,0.0900000035762787,7545,395,204565.09375,0,2002,26,4,278.686340332031,76.8000030517578,0,1,42000,0,0,1,1999,50,tank,60.29999840259551
